time,symbol,highPrice,lowPrice,closePrice,openPrice,volume
2010-01-04 04:00:00,AAPL,6.4330,6.3990,6.4240,6.4110,8400
2010-01-04 05:00:00,AAPL,6.4430,6.4170,6.4270,6.4320,11200
2010-01-04 06:00:00,AAPL,6.4400,6.4200,6.4310,6.4330,2800
2010-01-04 07:00:00,AAPL,6.4600,6.4080,6.4400,6.4200,562912
2010-01-04 08:00:00,AAPL,6.4510,6.3650,6.4400,6.4400,5141136
2010-01-04 09:00:00,AAPL,6.4920,6.3610,6.4490,6.4400,121532376
2010-01-04 10:00:00,AAPL,6.4730,6.4110,6.4500,6.4530,104254248
2010-01-04 11:00:00,AAPL,6.4780,6.4310,6.4650,6.4520,53221168
2010-01-04 12:00:00,AAPL,6.4870,6.4450,6.4710,6.4680,41791876
2010-01-04 13:00:00,AAPL,6.4830,6.4450,6.4580,6.4730,33373536
2010-01-04 14:00:00,AAPL,6.4880,6.4460,6.4700,6.4600,37359560
2010-01-04 15:00:00,AAPL,6.4940,6.4560,6.4750,6.4720,78596112
2010-01-04 16:00:00,AAPL,6.5040,6.4410,6.4910,6.4790,11594828
2010-01-04 17:00:00,AAPL,6.5040,6.4770,6.4950,6.4910,734580
2010-01-04 18:00:00,AAPL,6.5060,6.4600,6.4970,6.4980,1015812
2010-01-04 19:00:00,AAPL,6.5090,6.4780,6.4890,6.4980,1098664
2010-01-05 05:00:00,AAPL,6.5200,6.4880,6.4990,6.5130,28000
2010-01-05 06:00:00,AAPL,6.5080,6.4840,6.4970,6.4990,44800
2010-01-05 07:00:00,AAPL,6.5170,6.4810,6.5000,6.4950,509488
2010-01-05 08:00:00,AAPL,6.5300,6.4530,6.4720,6.5020,8624168
2010-01-05 09:00:00,AAPL,6.5270,6.4420,6.5070,6.4730,126296632
2010-01-05 10:00:00,AAPL,6.5260,6.4730,6.4950,6.5090,101031700
2010-01-05 11:00:00,AAPL,6.5160,6.4670,6.5030,6.4970,56161056
2010-01-05 12:00:00,AAPL,6.5190,6.4760,6.4980,6.5060,78779148
2010-01-05 13:00:00,AAPL,6.5140,6.4720,6.4870,6.5000,37894892
2010-01-05 14:00:00,AAPL,6.5030,6.4370,6.4820,6.4900,90495272
2010-01-05 15:00:00,AAPL,6.4990,6.4570,6.4810,6.4840,55914656
2010-01-05 16:00:00,AAPL,6.5130,6.4650,6.4820,6.4930,10159716
2010-01-05 17:00:00,AAPL,6.4990,6.4730,6.4840,6.4850,406308
2010-01-05 18:00:00,AAPL,6.4960,6.4730,6.4860,6.4860,185360
2010-01-05 19:00:00,AAPL,6.4960,6.4720,6.4840,6.4860,185164
2010-01-06 04:00:00,AAPL,6.5060,6.4800,6.4970,6.4920,14000
2010-01-06 06:00:00,AAPL,6.5090,6.4890,6.5000,6.5020,3584
2010-01-06 07:00:00,AAPL,6.5090,6.4630,6.4850,6.5020,152516
2010-01-06 08:00:00,AAPL,6.5020,6.4660,6.4910,6.4870,565348
2010-01-06 09:00:00,AAPL,6.5160,6.4530,6.4790,6.4940,66505656
2010-01-06 10:00:00,AAPL,6.5050,6.4620,6.4900,6.4810,74548236
2010-01-06 11:00:00,AAPL,6.5120,6.4380,6.4550,6.4920,64377152
2010-01-06 12:00:00,AAPL,6.4680,6.4110,6.4290,6.4580,78493996
2010-01-06 13:00:00,AAPL,6.4590,6.3750,6.3980,6.4310,75613832
2010-01-06 14:00:00,AAPL,6.4520,6.3770,6.4150,6.3990,79435608
2010-01-06 15:00:00,AAPL,6.4280,6.3620,6.3770,6.4170,94707368
2010-01-06 16:00:00,AAPL,6.4570,6.3650,6.3820,6.3810,8198400
2010-01-06 17:00:00,AAPL,6.4100,6.3670,6.3860,6.4030,478632
2010-01-06 18:00:00,AAPL,6.4030,6.3680,6.3930,6.3890,1491028
2010-01-06 19:00:00,AAPL,6.4060,6.3810,6.3960,6.3940,477792
2010-01-06 20:00:00,AAPL,6.4870,6.4670,6.4780,6.4800,5600
2010-01-07 06:00:00,AAPL,6.3880,6.3690,6.3790,6.3810,5600
2010-01-07 07:00:00,AAPL,6.4030,6.3740,6.3840,6.3960,324520
2010-01-07 08:00:00,AAPL,6.4390,6.3690,6.4130,6.3930,3107832
2010-01-07 09:00:00,AAPL,6.4300,6.3250,6.3550,6.4150,104587140
2010-01-07 10:00:00,AAPL,6.4020,6.3170,6.3810,6.3590,104816908
2010-01-07 11:00:00,AAPL,6.3970,6.3450,6.3680,6.3840,41197380
2010-01-07 12:00:00,AAPL,6.3970,6.3500,6.3620,6.3710,32893812
2010-01-07 13:00:00,AAPL,6.3730,6.3240,6.3370,6.3640,39472580
2010-01-07 14:00:00,AAPL,6.3670,6.3100,6.3550,6.3390,62981436
2010-01-07 15:00:00,AAPL,6.3760,6.3260,6.3660,6.3580,70562576
2010-01-07 16:00:00,AAPL,6.3800,6.3480,6.3710,6.3690,9101120
2010-01-07 17:00:00,AAPL,6.3750,6.3450,6.3550,6.3690,492380
2010-01-07 18:00:00,AAPL,6.3780,6.3460,6.3630,6.3590,379568
2010-01-07 19:00:00,AAPL,6.3780,6.3510,6.3690,6.3630,142716
2010-01-08 06:00:00,AAPL,6.4030,6.3720,6.3820,6.3970,11200
2010-01-08 07:00:00,AAPL,6.4040,6.3690,6.3790,6.3970,100100
2010-01-08 08:00:00,AAPL,6.3940,6.3160,6.3450,6.3870,4386900
2010-01-08 09:00:00,AAPL,6.3960,6.3100,6.3430,6.3480,81190144
2010-01-08 10:00:00,AAPL,6.3920,6.3320,6.3750,6.3460,89245744
